location_name,year,cause_name,val,total_deaths,share
Nepal,2000,Acute hepatitis B,56.20446553285442,197330.3272502659,0.00028482426556548815
Nepal,2000,Acute hepatitis C,8.9590551534568,197330.3272502659,4.540130895386598e-05
Nepal,2000,Acute hepatitis E,7.310894995552824,197330.3272502659,3.704901875665933e-05
Nepal,2000,Other unspecified infectious diseases,948.3229210656522,197330.3272502659,0.004805763687114011
Nepal,2000,Esophageal cancer,519.3094467937749,197330.3272502659,0.0026316757998133566
Nepal,2000,Stomach cancer,997.0173874039092,197330.3272502659,0.005052529944570726
Nepal,2000,Congenital heart anomalies,1673.6541969361328,197330.3272502659,0.008481484930664035
Nepal,2000,Orofacial clefts,93.9193050048781,197330.3272502659,0.00047594967440440177
Nepal,2000,Down syndrome,47.36877401733487,197330.3272502659,0.00024004811970569032
Nepal,2000,Other chromosomal abnormalities,42.09412096490176,197330.3272502659,0.00021331805177374246
Nepal,2000,Congenital musculoskeletal and limb anomalies,36.79279349975046,197330.3272502659,0.00018645280739380563
Nepal,2000,Urogenital congenital anomalies,41.98708925625936,197330.3272502659,0.00021277565309567886
Nepal,2000,Digestive congenital anomalies,253.1318813876783,197330.3272502659,0.001282782453741343
Nepal,2000,Other congenital birth defects,3.4227009723025157,197330.3272502659,1.734503266678135e-05
Nepal,2000,Cellulitis,0.2074260219729966,197330.3272502659,1.051161394517563e-06
Nepal,2000,Pyoderma,0.5439923833155206,197330.3272502659,2.7567601538794262e-06
Nepal,2000,Decubitus ulcer,1.3802637125595592,197330.3272502659,6.994686178212373e-06
Nepal,2000,Other skin and subcutaneous diseases,1.545024706795018,197330.3272502659,7.829636368238152e-06
Nepal,2000,Sudden infant death syndrome,495.31999742912313,197330.3272502659,0.002510105792309001
Nepal,2000,Pedestrian road injuries,728.6957696558266,197330.3272502659,0.0036927713028705
Nepal,2000,Cyclist road injuries,67.26233752279772,197330.3272502659,0.0003408616326748989
Nepal,2000,Motorcyclist road injuries,297.6620094382836,197330.3272502659,0.0015084453240721137
Nepal,2000,Meningitis,1215.4334926494976,197330.3272502659,0.006159385177059041
Nepal,2000,Encephalitis,719.4653495330615,197330.3272502659,0.00364599481265033
Nepal,2000,Diphtheria,32.496559652963576,197330.3272502659,0.00016468102042799297
Nepal,2000,Pertussis,1287.9509396621836,197330.3272502659,0.006526877837833455
Nepal,2000,Tetanus,1988.7061290759432,197330.3272502659,0.010078056205490144
Nepal,2000,Measles,8276.846135527418,197330.3272502659,0.04194411599505552
Nepal,2000,Varicella and herpes zoster,84.77725084453209,197330.3272502659,0.0004296209914911488
Nepal,2000,Malaria,51.17737200600366,197330.3272502659,0.00025934874136755227
Nepal,2000,Chagas disease,0.0,197330.3272502659,0.0
Nepal,2000,Visceral leishmaniasis,296.3311358177694,197330.3272502659,0.0015017009293353315
Nepal,2000,African trypanosomiasis,0.0,197330.3272502659,0.0
Nepal,2000,Schistosomiasis,0.0,197330.3272502659,0.0
Nepal,2000,Cysticercosis,3.3806428051100137,197330.3272502659,1.7131896815954116e-05
Nepal,2000,Other cardiovascular and circulatory diseases,314.1906615578625,197330.3272502659,0.0015922066614696658
Nepal,2000,Chronic obstructive pulmonary disease,12334.502058235255,197330.3272502659,0.06250687479270187
Nepal,2001,HIV/AIDS resulting in other diseases,254.4288533249618,193475.1720541984,0.0013150465283146946
Nepal,2001,Testicular cancer,13.423391097756774,193475.1720541984,6.9380432410193e-05
Nepal,2001,Kidney cancer,68.86074393827703,193475.1720541984,0.0003559151451173642
Nepal,2001,Bladder cancer,123.84123131109978,193475.1720541984,0.0006400884929897259
Nepal,2001,Brain and central nervous system cancer,244.53372143859792,193475.1720541984,0.0012639023335257531
Nepal,2001,Thyroid cancer,68.030456617057,193475.1720541984,0.00035162370393447464
Nepal,2000,Liver cancer due to hepatitis B,61.245757007474566,197330.3272502659,0.000310371739919121
Nepal,2000,Liver cancer due to hepatitis C,64.24721321044355,197330.3272502659,0.0003255820537355186
Nepal,2000,Liver cancer due to alcohol use,54.419539061602535,197330.3272502659,0.00027577889227632245
Nepal,2000,Liver cancer due to other causes,7.490096785955268,197330.3272502659,3.7957149771793e-05
Nepal,2000,Larynx cancer,274.05119457466026,197330.3272502659,0.0013887941017150013
Nepal,2000,"Tracheal, bronchus, and lung cancer",830.8571041061646,197330.3272502659,0.004210488654652778
Nepal,2000,Breast cancer,548.9974720693536,197330.3272502659,0.0027821241657045594
Nepal,2000,Cervical cancer,850.2914042679568,197330.3272502659,0.004308974784142365
Nepal,2000,Uterine cancer,52.96366845977421,197330.3272502659,0.00026840105724145776
Nepal,2000,Prostate cancer,255.4872211709668,197330.3272502659,0.001294718479065526
Nepal,2000,Colon and rectum cancer,395.6993558788813,197330.3272502659,0.002005263769603099
Nepal,2000,Lip and oral cavity cancer,554.9242340492682,197330.3272502659,0.0028121588900295123
Nepal,2000,Nasopharynx cancer,123.94282868646008,197330.3272502659,0.000628098227036681
Nepal,2000,Other pharynx cancer,317.27228055381687,197330.3272502659,0.0016078232118443383
Nepal,2000,Gallbladder and biliary tract cancer,229.5129667511868,197330.3272502659,0.001163090184612652
Nepal,2000,Pancreatic cancer,123.69550979911546,197330.3272502659,0.000626844902771775
Nepal,2000,Malignant skin melanoma,10.51039433145395,197330.3272502659,5.326294481903966e-05
Nepal,2000,Ovarian cancer,193.65354165717113,197330.3272502659,0.0009813673567346207
Nepal,2000,Chronic kidney disease due to glomerulonephritis,224.27347667135788,197330.3272502659,0.0011365383101347676
Nepal,2000,Chronic kidney disease due to other and unspecified causes,715.920428670493,197330.3272502659,0.00362803041299638
Nepal,2000,Urinary tract infections and interstitial nephritis,276.17401581158776,197330.3272502659,0.0013995518056447941
Nepal,2000,Urolithiasis,40.95193298559993,197330.3272502659,0.00020752984883900936
Nepal,2000,Other urinary diseases,295.14096933063166,197330.3272502659,0.0014956695883664986
Nepal,2000,Uterine fibroids,6.565044196349739,197330.3272502659,3.326931185809855e-05
Nepal,2000,Endometriosis,0.0431252913928156,197330.3272502659,2.1854365719528543e-07
Nepal,2000,Genital prolapse,0.903623869739053,197330.3272502659,4.579244773627848e-06
Nepal,2000,Other gynecological diseases,11.924284439143388,197330.3272502659,6.04280376225207e-05
Nepal,2000,Thalassemias,102.1235458690859,197330.3272502659,0.0005175258526762935
Nepal,2000,Sickle cell disorders,14.675342392669052,197330.3272502659,7.43694220607911e-05
Nepal,2000,G6PD deficiency,26.461948085747245,197330.3272502659,0.00013409975270646895
Nepal,2000,Other hemoglobinopathies and hemolytic anemias,208.60708218169057,197330.3272502659,0.0010571465881021058
Nepal,2000,"Other endocrine, metabolic, blood, and immune disorders",46.783579891558205,197330.3272502659,0.00023708256375729072
Nepal,2000,Rheumatoid arthritis,80.50520931603711,197330.3272502659,0.0004079718026004978
Nepal,2000,Other musculoskeletal disorders,116.3049168334267,197330.3272502659,0.0005893920030139208
Nepal,2000,Neural tube defects,332.41388084085435,197330.3272502659,0.0016845554632829833
