population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2000,554.9242340492682,761.3314622722128,399.4919321688074
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,447,Nasopharynx cancer,1,Number,2000,123.94282868646008,162.103824580066,86.89868769449257
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,450,Other pharynx cancer,1,Number,2000,317.27228055381687,471.5001209449968,215.14709343787135
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,2000,229.5129667511868,337.81195395261017,163.45801331820658
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,456,Pancreatic cancer,1,Number,2000,123.69550979911546,174.17339764514472,87.26964778800655
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,459,Malignant skin melanoma,1,Number,2000,10.51039433145395,16.216605456654275,6.895073711764279
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,465,Ovarian cancer,1,Number,2000,193.65354165717113,329.02355344177823,114.30936972166492
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,592,Chronic kidney disease due to glomerulonephritis,1,Number,2000,224.27347667135788,330.2135586029151,149.5158887357439
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,593,Chronic kidney disease due to other and unspecified causes,1,Number,2000,715.920428670493,1008.8126562132869,489.3295554300476
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,595,Urinary tract infections and interstitial nephritis,1,Number,2000,276.17401581158776,374.5706096040632,183.18009299596886
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,596,Urolithiasis,1,Number,2000,40.95193298559993,55.2927444039425,30.73752582083497
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,602,Other urinary diseases,1,Number,2000,295.14096933063166,417.4496018675909,206.51762547622684
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,604,Uterine fibroids,1,Number,2000,6.565044196349739,18.148564259165386,2.186281838022865
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,607,Endometriosis,1,Number,2000,0.04312529139281564,0.2085453719240531,0.001145898804934786
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,608,Genital prolapse,1,Number,2000,0.903623869739053,3.084195606595884,0.15371578257701615
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,612,Other gynecological diseases,1,Number,2000,11.924284439143388,31.09484395516121,3.4704307211120633
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,614,Thalassemias,1,Number,2000,102.1235458690859,168.04554997038224,63.1270681308946
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,615,Sickle cell disorders,1,Number,2000,14.675342392669053,25.78676677830518,8.800931278689582
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,616,G6PD deficiency,1,Number,2000,26.461948085747245,43.272755992941356,15.832981462295155
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,618,Other hemoglobinopathies and hemolytic anemias,1,Number,2000,208.60708218169054,321.3687694809622,145.1720926546789
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,625,"Other endocrine, metabolic, blood, and immune disorders",1,Number,2000,46.783579891558205,84.71033304031577,19.755635553440573
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,627,Rheumatoid arthritis,1,Number,2000,80.50520931603711,128.04673413652736,36.535681355402765
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,639,Other musculoskeletal disorders,1,Number,2000,116.3049168334267,186.7485124180966,66.0892732734295
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,642,Neural tube defects,1,Number,2000,332.41388084085435,598.3527032005868,147.4302185921359
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,511,Silicosis,1,Number,2000,5.133345110332985,13.850673496206069,1.2687092081610036
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,512,Asbestosis,1,Number,2000,0.9395774455426948,3.8950098554567187,0.17028942871188968
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,513,Coal workers pneumoconiosis,1,Number,2000,1.5084760724208943,4.6466882722042975,0.15594769527143523
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,514,Other pneumoconiosis,1,Number,2000,2.5426172724863845,7.268632510267119,0.6491992106401719
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,515,Asthma,1,Number,2000,2719.203900907482,4989.150282688788,1389.1970206950064
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,516,Interstitial lung disease and pulmonary sarcoidosis,1,Number,2000,272.33976688137597,868.4896273810001,118.15471480286915
